,Branch length stretch,date,numdate
A_Arizona_12633_2022_EPIISL12422429_2022-02-10,2.0,2022-02-10,2022.137037256496
A_Arizona_14_2022_EPIISL11959118_2022-03-05,1.060597665776939,2022-03-05,2022.199194029313
A_Arizona_67_2016_EPIISL287721_2016-05-04,0.5307679495078045,2016-05-04,2016.4415851385806
A_Arkansas_10_2022_EPIISL12713561_2022-04-05,2.0,2022-04-05,2022.282970549197
A_Arkansas_11_2022_EPIISL12713977_2022-04-06,0.5497813584533844,2022-04-06,2022.2856730175804
A_Armenia_19_2022_EPIISL9842647_2022-01-05,2.0,2022-01-05,2022.0397483946952
A_Armenia_897_2021_EPIISL9627674_2021-12-28,0.5496217530330519,2021-12-28,2022.0174530305326
A_Arsal_5767_2021_EPIISL6075501_2021-09-13,1.0000004296577881e-06,2021-09-13,2021.730991382273
A_Arsal_5772_2021_EPIISL6075499_2021-09-13,0.9651942576367382,2021-09-13,2021.7309913818972
A_Arsal_5773_2021_EPIISL6075498_2021-09-13,1.0000004296577881e-06,2021-09-13,2021.730991382273
A_Arsal_5773_2021_EPIISL6075498_2021-09-13_HA_4,1.0000004296577881e-06,2021-09-13,2021.730991382273
A_Astrakhan_01_2021_EPIISL9593251_2021-11-03,1.0954073849616848,2021-11-03,2021.8688172694483
A_Asturias_9911_2021_EPIISL7973310_2021-11-23,1.155279315234133,2021-11-23,2021.9228666371152
A_Athens.GR_1952_2019_EPIISL407445_2019-11-22,0.9998712829196221,2019-11-22,2019.9460110146929
A_Austria_1204623_2019_EPIISL409943_2019-12-02,0.9983017071558886,2019-12-02,2019.9730356985265
A_Avignon_1286_2020_EPIISL498289_2020-02-17,1.0023105217459758,2020-02-17,2020.1818013811405
A_Ayutthaya_56_2020_EPIISL1296342_2020-11-09,1.0000004296582117e-06,2020-11-09,2020.900657971488
A_Ayutthaya_56_2020_EPIISL1367581_2020-11-09,1.0000004296582117e-06,2020-11-09,2020.900657971488
A_Ayutthaya_60_2020_EPIISL1367568_2020-11-10,1.0000004296581672e-06,2020-11-10,2020.9033604398714
A_Ayutthaya_61_2020_EPIISL1296327_2020-11-10,1.0000004296581672e-06,2020-11-10,2020.9033604398714
A_Ayutthaya_P3657_2022_EPIISL16608861_2022-10-10_HA_4,0.5222709621351735,2022-10-10,2022.7910346052672
A_Baabda_5555_2021_EPIISL6915271_2021-09-01,1.0000004296577481e-06,2021-09-01,2021.6985617616729
A_Baden-Wuerttemberg_310_2019_EPIISL401784_2019-10-16,0.5827021106151415,2019-10-16,2019.846019684509
A_Baden-Wurttemberg_14_2023_EPIISL17505335_2023-02-10_HA_4,1.47509471243797,2023-02-10,2023.1241138335154
A_Baden-Wurttemberg_2_2021_EPIISL12219532_2021-12-27,0.4964556274133489,2021-12-27,2022.0147505621492
A_Bahrain_1344_2021_EPIISL1296354_2021-01-10,1.0000004296578167e-06,2021-01-10,2021.0661841599683
A_Bahrain_4981_2021_EPIISL1064127_2021-01-12,1.0000004296578167e-06,2021-01-12,2021.071589096735
A_Bahrain_5753_2021_EPIISL10826402_2021-10-13,2.0,2021-10-13,2021.8120654333977
A_Bahrain_805_2019_EPIISL412138_2019-12-02,2.0,2019-12-02,2019.9730356985265
A_Bahrain_808_2019_EPIISL412137_2019-12-03,0.9857003762776281,2019-12-03,2019.9757381669099
A_Bahrain_872_2019_EPIISL412133_2019-12-22,0.9991361496425203,2019-12-22,2020.0270850661934
A_Bahrain_885_2019_EPIISL491770_2019-12-25,1.2542943010771617,2019-12-25,2020.0351924713436
A_Bahrain_9211_2021_EPIISL1064138_2021-01-14,2.0,2021-01-14,2021.0769940331259
A_Baleares_9228_2021_EPIISL5142467_2021-09-22,1.0000004296578544e-06,2021-09-22,2021.755313597723
A_Baleares_9228_2021_EPIISL8808677_2021-09-22,1.0000004296578544e-06,2021-09-22,2021.755313597723
A_Baltimore_JH-0410_2022_EPIISL15807292_2022-10-20_HA_4,0.6210027576273369,2022-10-20,2022.8180592891008
A_Baltimore_JH-0470_2022_EPIISL15806331_2022-10-31_HA_4,0.9987461950429705,2022-10-31,2022.8477864413176
A_Baltimore_JH-0549_2022_EPIISL16814735_2022-11-02_HA_4,0.6131391513380471,2022-11-02,2022.8531913780844
A_Baltimore_JH-0612_2022_EPIISL16766252_2022-10-31_HA_4,9.999999959768757e-07,2022-10-31,2022.8477864416934
A_Baltimore_JH-0649_2022_EPIISL16814811_2022-11-29_HA_4,2.0,2022-11-29,2022.926158024435
A_Baltimore_JH-0766_2022_EPIISL16766403_2022-12-11_HA_4,0.7225541142171997,2022-12-11,2022.958587645035
A_Baltimore_JH-0792_2022_EPIISL16766426_2022-12-03_HA_4,0.9919593056599826,2022-12-03,2022.9369678979683
A_Bangkok_57_2020_EPIISL1296363_2020-11-10,1.0000004296581403e-06,2020-11-10,2020.9033604398714
A_Bangkok_57_2020_EPIISL1367580_2020-11-10,1.0000004296581403e-06,2020-11-10,2020.9033604398714
A_Bangkok_58_2020_EPIISL1296340_2020-11-10,1.0000004296850656e-06,2020-11-10,2020.9033604398714
A_Bangkok_58_2020_EPIISL1367583_2020-11-10,1.0000004296850656e-06,2020-11-10,2020.9033604398714
A_Bangkok_59_2020_EPIISL1296328_2020-11-11,1.0000004296581672e-06,2020-11-11,2020.9060629082546
A_Bangkok_59_2020_EPIISL1367579_2020-11-11,1.0000004296581672e-06,2020-11-11,2020.9060629082546
A_Bangkok_62_2020_EPIISL1367582_2020-11-11,2.0,2020-11-11,2020.9060629078788
A_Bangkok_P4201_2022_EPIISL16645142_2022-11-25_HA_4,2.0,2022-11-25,2022.9153481509015
